code,code_digits,name_fr,name_ar,region_code,province_code,population_2024,households_2024,communes
07.041.11,0704111,Touama,التوامة,07,07.041,102815,21480,8
07.041.07,0704107,Asni,اسني,07,07.041,56005,13422,7
07.041.05,0704105,Amizmiz,أمزميز,07,07.041,53988,13609,9
07.041.09,0704109,Tahannaout,تحناوت,07,07.041,167379,38469,6
07.191.05,0719105,Laattaouia,العطاوية,07,07.191,81279,18217,8
07.191.09,0719109,Assahrij-Sanhaja,الصهريج-صنهاجة,07,07.191,68475,14710,6
07.191.07,0719107,Tamallalt,تملالت,07,07.191,65440,14097,4
07.191.11,0719111,El Kelâa-Ahl El Ghaba,القلعة-أهل الغابة,07,07.191,93337,19929,10
07.191.13,0719113,El Kelâa-Beni Ameur,القلعة-بني عامر,07,07.191,76115,16584,11
07.211.03,0721103,Essaouira,الصويرة,07,07.211,99520,25311,11
07.211.09,0721109,El Hanchane,الحنشان,07,07.211,90203,21810,15
07.211.07,0721107,Ait Daoud,آيت داوود,07,07.211,39712,10197,9
07.211.05,0721105,Tamanar,تمنار,07,07.211,89095,22975,17
07.427.07,0742707,Rehamna,الرحامنة,07,07.427,112507,24204,13
07.427.09,0742709,Sidi Bou Othmane,سيدي بوعثمان,07,07.427,106239,21974,10
07.431.03,0743103,Abda,عبدة,07,07.431,118720,26638,9
07.431.09,0743109,Hrara,حرارة,07,07.431,124112,26616,6
07.431.07,0743107,Gzoula,كزولة,07,07.431,116486,27159,7
07.585.05,0758505,Ahmar,احمر,07,07.585,81516,16921,4
07.585.07,0758507,El Gantour,الكنتور,07,07.585,72416,15696,5
08.201.03,0820103,Arfoud,أرفود,08,08.201,36227,6658,4
08.201.11,0820111,Er-Rissani,الريصاني,08,08.201,36197,7027,5
08.201.07,0820107,Errachidia,الرشيدية,08,08.201,64000,13332,5
08.201.13,0820113,Goulmima,كلميمة,08,08.201,29799,6349,4
08.201.15,0820115,Tinejdad,تنجداد,08,08.201,63240,11997,4
08.401.03,0840103,Amerzgane,امرزكان,08,08.401,100670,22341,9
08.401.07,0840107,Ouarzazate,ورزازات,08,08.401,116776,23772,6
08.363.09,0836309,Er-Rich,الريش,08,08.363,64519,13361,7
08.363.15,0836315,Imilchil,املشيل,08,08.363,34683,7105,5
08.363.07,0836307,Midelt,ميدلت,08,08.363,58511,14196,7
08.363.05,0836305,Boumia,بومية,08,08.363,20843,4963,4
08.363.17,0836317,Tounfite,تونفيت,08,08.363,22390,5085,3
08.577.05,0857705,Boumalne-Dades,بومالن دادس,08,08.577,52970,8920,6
08.577.09,0857709,Kalaat M'gouna,قلعة مكونة,08,08.577,83748,15649,5
08.577.07,0857707,Tinghir,تنغير,08,08.577,56627,10918,6
08.577.02,0857702,Alnif,النيف,08,08.577,38146,6333,3
08.577.03,0857703,Assoul,اسول,08,08.577,17947,3794,2
08.587.07,0858707,Tinzouline,تنزولين,08,08.587,75267,10672,7
08.587.09,0858709,Zagora,زاكورة,08,08.587,55151,8859,5
08.587.03,0858703,Agdz,أكدز,08,08.587,54323,9271,6
08.587.11,0858711,Lamaidar,المعيدر,08,08.587,47321,7665,5
09.001.05,0900105,Agadir Banlieue,أحواز أكادير,09,09.001,119984,28595,3
09.001.07,0900107,Agadir Atlantique,أكادير الأطلسية,09,09.001,96679,25100,9
09.273.05,0927305,Ait-Melloul,آيت ملول,09,09.273,68360,16671,2
09.163.03,0916303,Ait Baha,آيت باها,09,09.163,32432,10252,10
09.163.07,0916307,Biougra,بيوكرى,09,09.163,102193,26367,3
09.163.05,0916305,Belfaâ-Massa,بلفاع-ماسة,09,09.163,116200,32159,5
09.541.03,0954103,Irherm,إيغرم,09,09.541,30675,10344,16
09.541.05,0954105,Oulad Teima,أولاد تايمة,09,09.541,134570,32406,10
09.541.11,0954111,Sidi Moussa Lhamri,سيدي موسى الحمري,09,09.541,99706,23277,11
09.541.09,0954109,Taroudannt,تارودانت,09,09.541,86194,20491,12
