code,code_digits,slug,name_fr,name_ar,type,region_code,province_code,cercle_code,population_2024,households_2024,population_2014,change_pct,area_km2,density_2024
01.571.03.21,015710321,sahtryine,Sahtryine,السحتريين,rural,01,01.571,01.571.03,8733,1987,8036,8.67,106,82.39
01.571.03.11,015710311,bni-idder,Bni Idder,بني يدر,rural,01,01.571,01.571.03,4659,983,4823,-3.4,70.51,66.08
01.571.03.05,015710305,bghaghza,Bghaghza,بغاغزة,rural,01,01.571,01.571.03,6238,1386,6955,-10.31,86.59,72.04
01.571.05.13,015710513,bni-leit,Bni Leit,بني ليت,rural,01,01.571,01.571.05,5004,1004,5324,-6.01,96.25,51.99
01.571.05.01,015710501,al-hamra,Al Hamra,الحمراء,rural,01,01.571,01.571.05,11877,2399,11118,6.83,137.33,86.48
01.571.05.05,015710505,al-oued,Al Oued,الواد,rural,01,01.571,01.571.05,10875,2238,11288,-3.66,148.81,73.08
01.571.05.19,015710519,oulad-ali-mansour,Oulad Ali Mansour,أولاد علي منصور,rural,01,01.571,01.571.05,4683,850,5306,-11.74,86.87,53.91
01.571.05.17,015710517,dar-bni-karrich,Dar Bni Karrich,دار بني قريش,rural,01,01.571,01.571.05,10115,2493,8499,19.01,28.56,354.13
01.571.05.27,015710527,zinat,Zinat,الزينات,rural,01,01.571,01.571.05,8214,1726,7669,7.11,114.58,71.69
01.571.05.07,015710507,azla,Azla,أزلا,rural,01,01.571,01.571.05,22985,5553,16128,42.52,65.68,349.97
01.571.05.23,015710523,zaitoune,Zaitoune,الزيتون,rural,01,01.571,01.571.05,13492,3192,10481,28.73,63.6,212.15
01.571.05.15,015710515,bni-said,Bni Said,بني سعيد,rural,01,01.571,01.571.05,10465,2358,9103,14.96,71.08,147.23
01.571.05.25,015710525,zaouiat-sidi-kacem,Zaouiat Sidi Kacem,زاوية سيدي قاسم,rural,01,01.571,01.571.05,12851,2729,11537,11.39,138.85,92.55
01.227.05.09,012270509,malloussa,Malloussa,ملوسة,rural,01,01.227,01.227.05,18854,4627,12250,53.91,123.54,152.61
01.227.05.01,012270501,al-bahraoyine,Al Bahraoyine,البحراويين,rural,01,01.227,01.227.05,15491,3912,8465,83,49.94,310.17
01.227.05.05,012270505,ksar-sghir,Ksar Sghir,القصر الصغير,rural,01,01.227,01.227.05,17125,4391,12997,31.76,87.33,196.1
01.227.03.11,012270311,jouamaa,Jouamaa,جوامعة,rural,01,01.227,01.227.03,10039,2416,7711,30.19,105.07,95.54
01.227.03.05,012270305,anjra,Anjra,أنجرة,rural,01,01.227,01.227.03,17251,3992,16081,7.28,98.36,175.39
01.227.03.21,012270321,taghramt,Taghramt,تغرامت,rural,01,01.227,01.227.03,9326,2385,8706,7.12,131.05,71.16
01.227.03.13,012270313,ksar-el-majaz,Ksar El Majaz,القصر المجاز,rural,01,01.227,01.227.03,12703,3437,10237,24.09,85.94,147.82
01.331.01.01,013310101,ksar-el-kebir,Ksar El Kebir,القصر الكبير,urban,01,01.331,,124701,33188,126617,-1.51,19.6,6360.83
01.331.01.03,013310103,larache,Larache,العرائش,urban,01,01.331,,133731,35818,125008,6.98,72.8,1836.99
01.331.07.05,013310705,laouamra,Laouamra,العوامرة,rural,01,01.331,01.331.07,48253,8949,40605,18.84,204.34,236.14
01.331.07.17,013310717,zouada,Zouada,زوادة,rural,01,01.331,01.331.07,25289,5050,23223,8.9,129.22,195.7
01.331.07.03,013310703,ksar-bjir,Ksar Bjir,قصر بجير,rural,01,01.331,01.331.07,17182,4028,16308,5.36,86.79,197.96
01.331.07.01,013310701,boujedyane,Boujedyane,بوجديان,rural,01,01.331,01.331.07,9624,2639,11166,-13.81,191.32,50.3
01.331.07.15,013310715,tatoft,Tatoft,تطفت,rural,01,01.331,01.331.07,8657,2317,9527,-9.13,144.99,59.71
01.331.07.11,013310711,souk-l-qolla,Souk L'qolla,سوق القلة,rural,01,01.331,01.331.07,13592,3176,14965,-9.17,307.01,44.27
01.331.09.03,013310903,bni-arouss,Bni Arouss,بني عروس,rural,01,01.331,01.331.09,7337,1971,8193,-10.45,186.72,39.29
01.331.09.13,013310913,tazroute,Tazroute,تازروت,rural,01,01.331,01.331.09,5449,1354,5974,-8.79,157.75,34.54
01.331.09.01,013310901,ayacha,Ayacha,عياشة,rural,01,01.331,01.331.09,6925,1775,7335,-5.59,215.63,32.11
01.331.09.05,013310905,bni-garfett,Bni Garfett,بني كرفط,rural,01,01.331,01.331.09,11311,2713,12994,-12.95,202.31,55.91
01.331.09.15,013310915,zaaroura,Zaaroura,زعرورة,rural,01,01.331,01.331.09,8615,2226,10137,-15.01,209.98,41.03
01.331.11.11,013311111,sahel,Sahel,الساحل,rural,01,01.331,01.331.11,18258,4469,17496,4.36,177.52,102.85
01.331.11.07,013311107,rissana-chamalia,Rissana Chamalia,ريصانة الشمالية,rural,01,01.331,01.331.11,12961,2797,12484,3.82,101.21,128.06
01.331.11.09,013311109,rissana-janoubia,Rissana Janoubia,ريصانة الجنوبية,rural,01,01.331,01.331.11,19480,3814,16366,19.03,104.05,187.23
01.331.11.03,013311103,oulad-ouchih,Oulad Ouchih,أولاد اوشيح,rural,01,01.331,01.331.11,13409,2765,12608,6.35,58.42,229.52
01.331.11.12,013311112,souaken,Souaken,السواكن,rural,01,01.331,01.331.11,12582,2699,12632,-0.4,74.33,169.27
01.331.11.13,013311113,souk-tolba,Souk Tolba,سوق الطلبة,rural,01,01.331,01.331.11,12855,2894,13049,-1.49,93.19,137.95
01.051.01.01,010510101,al-hoceima,Al Hoceima,الحسيمة,urban,01,01.051,,50225,14351,56716,-11.44,15.57,3226.68
01.051.01.03,010510103,bni-bouayach,Bni Bouayach,بني بوعياش,urban,01,01.051,,20013,4969,18271,9.53,21.61,926.16
01.051.01.05,010510105,imzouren,Imzouren,امزورن,urban,01,01.051,,34848,8677,33852,2.94,15.09,2308.67
01.051.01.07,010510107,targuist,Targuist,تارجيست,urban,01,01.051,,14638,3756,13390,9.32,5.7,2566.28
01.051.01.09,010510109,ajdir-010510109,Ajdir,أجدير,urban,01,01.051,,5630,1500,5314,5.95,15.3,367.96
01.051.03.01,010510301,bni-boufrah,Bni Boufrah,بني بوفراح,rural,01,01.051,01.051.03,8401,2083,9653,-12.97,154.2,54.48
01.051.03.07,010510307,senada,Senada,سنادة,rural,01,01.051,01.051.03,8059,1992,9176,-12.17,153.89,52.37
01.051.03.05,010510305,bni-gmil-maksouline,Bni Gmil Maksouline,بني جميل مكصولين,rural,01,01.051,01.051.03,7214,1481,9593,-24.8,111.77,64.54
01.051.03.03,010510303,bni-gmil,Bni Gmil,بني اكميل,rural,01,01.051,01.051.03,7752,1546,9513,-18.51,140.43,55.2
01.051.13.11,010511311,chakrane,Chakrane,شقران,rural,01,01.051,01.051.13,3306,773,4761,-30.56,173.58,19.05
01.051.13.05,010511305,arbaa-taourirt,Arbaa Taourirt,اربعاء تاوريرت,rural,01,01.051,01.051.13,3799,922,5187,-26.76,118.84,31.97
01.051.13.23,010511323,tifarouine,Tifarouine,تيفروين,rural,01,01.051,01.051.13,3318,800,4231,-21.58,66.85,49.64
01.051.13.19,010511319,nekkour,Nekkour,النكور,rural,01,01.051,01.051.13,7721,1956,8963,-13.86,90.86,84.98
01.051.13.03,010511303,ait-youssef-ou-ali,Ait Youssef Ou Ali,آيت يوسف وعلي,rural,01,01.051,01.051.13,13830,3451,12673,9.13,62.41,221.61
01.051.13.17,010511317,louta,Louta,لوطا,rural,01,01.051,01.051.13,4408,1050,4428,-0.45,30.94,142.46
01.051.13.13,010511313,imrabten,Imrabten,امرابطن,rural,01,01.051,01.051.13,6983,1836,8715,-19.87,99.91,69.89
01.051.11.25,010511125,zaouiat-sidi-abdelkader,Zaouiat Sidi Abdelkader,زاوية سيدي عبد القادر,rural,01,01.051,01.051.11,4150,1009,5452,-23.88,130.46,31.81
01.051.11.09,010511109,bni-hadifa,Bni Hadifa,بني حذيفة,rural,01,01.051,01.051.11,4723,1236,5594,-15.57,75.73,62.36
01.051.11.07,010511107,bni-abdellah,Bni Abdellah,بني عبد الله,rural,01,01.051,01.051.11,4939,1283,5983,-17.45,132.82,37.19
01.051.11.15,010511115,izemmouren,Izemmouren,ازمورن,rural,01,01.051,01.051.11,6365,1682,5153,23.52,78.23,81.36
01.051.11.01,010511101,ait-kamra,Ait Kamra,آيت قمرة,rural,01,01.051,01.051.11,8269,1957,7685,7.6,86.43,95.68
01.051.11.21,010511121,rouadi,Rouadi,ارواضي,rural,01,01.051,01.051.11,6858,1741,7131,-3.83,184.65,37.14
01.051.07.21,010510721,sidi-bouzineb,Sidi Bouzineb,سيدي بوزينب,rural,01,01.051,01.051.07,2756,598,3711,-25.73,96.51,28.56
